"species","tot","prop_imported","all","t80","pos","top90","common_name","scientific_name","farmed_wild","low","max","mid","family","tax","nutrient_source","selenium","zinc","omega_3","calcium","iron","vitamin_a","ca_rda","fe_rda","se_rda","zn_rda","om_rda","nut_adq","portion_adq","nut_score","group","uk_name","exported","apparent_consumption","vitamin_d","folate","vitamin_b12","iodine","vita_rda","vitd_rda","vitb12_rda","folate_rda","iodine_rda"
"Salmon",271378.839,0.372636438318612,1499692.70655676,271378.839,0.180956297122412,TRUE,"Atlantic salmon","Salmo salar","Farmed",1.6,7.4,4.5, ,"Fish","Species-level",18.0565728028385,0.346735174420537,1.8066992632619,15.6065286006437,0.624924824305382,12.8538699741523,1.56065286006437,2.1255946404945,69.4483569339943,7.07622804939872,100,36.0421664967904,110.981119860156,180.210832483952,"Salmons, trouts, smelts","Salmon",155393.77204,115985.06696,4.7,5,4.4,12,2.57077399483047,69.1176470588235,100,1.25,8
"Mackerel",159086.729684,0.126714472288429,1499692.70655676,430465.568684,0.287035848612168,TRUE,"Atlantic mackerel","Scomber scombrus","Wild",0.2,0.3,0.25, ,"Fish","Species-level",49.8995632991873,0.914373092920469,1.33512275453,22.5331812020997,0.83783720396581,19.8401206043372,2.25331812020997,2.84978640804697,100,18.6606753657239,100,44.7527559787962,89.3799702949065,223.763779893981,"Miscellaneous pelagic fishes","Mackerel",68058.27,91028.459684,8,1,8.8,29,3.96802412086744,100,100,0.25,19.3333333333333
"Cod",134356.4563454,0.787481293254743,1499692.70655676,564822.0250294,0.376625172983744,TRUE,"Atlantic cod","Gadus morhua","Wild",1.5,4,2.75, ,"Fish","Species-level",15.7919134493559,0.568267462822722,0.921803538589195,15.5215886992506,0.147698769666739,7.79921073870358,1.55215886992506,0.502376767573942,60.738128651369,11.5972951596474,83.8003216899268,31.6380562276884,126.43001741995,158.190281138442,"Cods, hakes, haddocks","Cod",27155.28646,107201.1698854,0,7,1.5,196,1.55984214774072,0,62.5,1.75,100
"Tuna, skipjack",94728.569,1,1499692.70655676,659550.5940294,0.43979049250943,TRUE,"Skipjack tuna","Katsuwonus pelamis","Wild",1.6,6.3,3.95, ,"Fish","Species-level",91.9318175003712,1.52476428732924,0.47073352972723,145.312334640667,1.98946081495735,3.96987460366585,14.5312334640667,6.7668735202631,100,31.1176385169233,42.79395724793,39.0419405498366,102.453923746286,195.209702749183,"Tunas, bonitos, billfishes","Tuna, skipjack",6602.19211,88126.37689,3.2,4,2.2,18,0.793974920733169,47.0588235294118,91.6666666666667,1,12
"Haddock",83818.4542011,0.612467212492763,1499692.70655676,743369.0482305,0.495680911816426,TRUE,"Haddock","Melanogrammus aeglefinus","Wild",3.6,4.2,3.9, ,"Fish","Species-level",32.661484729446,0.288734916834256,0.571956738603065,10.2446351541029,0.171524156416551,11.2238879919049,1.02446351541029,0.58341549801548,100,5.89254932314809,51.9960671457332,31.8992990964614,125.394604687215,159.496495482307,"Cods, hakes, haddocks","Haddock",2413.30836,81405.1458411,0,10,1.9,320,2.24477759838098,0,79.1666666666667,2.5,100
"Herring",71050.9664756,0.0791451725281055,1499692.70655676,814420.0147061,0.543057928564563,TRUE,"Atlantic herring","Clupea harengus","Wild",0.2,0.4,0.3, ,"Fish","Species-level",16.2234676776893,1.30180853800032,1.83460148038602,92.5909530463614,0.480693079992856,33.3524155837971,9.25909530463614,1.63501047616618,62.3979526064972,26.5675211836799,100,39.9719159141959,100.070259543887,199.859579570979,"Herrings, sardines, anchovies","Herring",44357.28641,26693.6800656,19,9,13,29,6.67048311675942,100,100,2.25,19.3333333333333
"Other marine fish",60491.59,1,1499692.70655676,874911.6047061,0.58339391855473,TRUE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"Blue Whiting",57894.7068459,0,1499692.70655676,932806.311552,0.621998298367195,TRUE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"Shrimp, miscellaneous",43529.59,1,1499692.70655676,976335.901552,0.651023971299847,TRUE,"Shrimp, miscellaneous","Shrimp, miscellaneous","Farmed",2.75333333333333,6.33333333333333,4.54333333333333, , , ,48.3,1.78833333333333,0.285468320478261,109.428571428571,1.59,2,10.9428571428571,5.40816326530612,100,36.4965986394557,25.9516654980237,35.7598569091285,111.857270854429,178.799284545643,"Shrimps, prawns","Shrimp, miscellaneous",11854.5745,31675.0155,0,14,3,100,0.4,0,100,3.5,66.6666666666667
"Shrimp, miscellaneous",43529.59,1,1499692.70655676,976335.901552,0.651023971299847,TRUE,"Shrimp, miscellaneous","Shrimp, miscellaneous","Wild",9.6,16.825,13.2125, , , ,39.6110133816051,1.54992033624145,0.29349529322881,108.143620316607,1.2378416349913,2,10.8143620316607,4.21034569724931,100,31.6310272702336,26.6813902935282,34.6674250585344,115.496778527449,173.337125292672,"Shrimps, prawns","Shrimp, miscellaneous",11854.5745,31675.0155,0,14,3,100,0.4,0,100,3.5,66.6666666666667
