"species","prop_imported","source","catch","tot","id","farmed_wild","mid","nut_score"
"Blue Ling",0,"wild",722.7827,722.7827,"Blue Ling_wild",NA,NA,NA
"Blue Ling",0,"imported",0,722.7827,"Blue Ling_imported",NA,NA,NA
"Blue Ling",0,"farmed",0,722.7827,"Blue Ling_farmed",NA,NA,NA
"Blue Whiting",0,"wild",57894.7068459,57894.7068459,"Blue Whiting_wild",NA,NA,NA
"Blue Whiting",0,"imported",0,57894.7068459,"Blue Whiting_imported",NA,NA,NA
"Blue Whiting",0,"farmed",0,57894.7068459,"Blue Whiting_farmed",NA,NA,NA
"Cockles",0,"wild",9645.614,9645.614,"Cockles_wild",NA,NA,NA
"Cockles",0,"imported",0,9645.614,"Cockles_imported",NA,NA,NA
"Cockles",0,"farmed",0,9645.614,"Cockles_farmed",NA,NA,NA
"Cod",0.787481293254743,"wild",28553.2603454,134356.4563454,"Cod_wild","Wild",2.75,158.190281138442
"Cod",0.787481293254743,"imported",105803.196,134356.4563454,"Cod_imported",NA,NA,NA
"Cod",0.787481293254743,"farmed",0,134356.4563454,"Cod_farmed",NA,NA,NA
"Crab",0.0942383731882086,"wild",31155.5180228,34397.0390228,"Crab_wild",NA,NA,NA
"Crab",0.0942383731882086,"imported",3241.521,34397.0390228,"Crab_imported",NA,NA,NA
"Crab",0.0942383731882086,"farmed",0,34397.0390228,"Crab_farmed",NA,NA,NA
"Cuttlefish",0.014780945117071,"wild",4863.5914827,4936.5584827,"Cuttlefish_wild",NA,NA,NA
"Cuttlefish",0.014780945117071,"imported",72.967,4936.5584827,"Cuttlefish_imported",NA,NA,NA
"Cuttlefish",0.014780945117071,"farmed",0,4936.5584827,"Cuttlefish_farmed",NA,NA,NA
"Dogfish",0.138601312578869,"wild",1411.2883226,1638.3683226,"Dogfish_wild",NA,NA,NA
"Dogfish",0.138601312578869,"imported",227.08,1638.3683226,"Dogfish_imported",NA,NA,NA
"Dogfish",0.138601312578869,"farmed",0,1638.3683226,"Dogfish_farmed",NA,NA,NA
"Freshwater catfish",0.967145992486171,"wild",517.3614,15747.2844,"Freshwater catfish_wild",NA,NA,NA
