"species","Genus","Family","Order","Class","spec_code","DemersPelag","EnvTemp","environment","Feeding_path","BodyShape","DepthRangeDeep","Lmax","trophic_level","K","tm"
"Abramis brama","Abramis","Cyprinidae","Cypriniformes","Actinopterygii",268,"benthopelagic","temperate","mixed","benthic","fusiform",23.75,82,3.1,0.1374125,3.83061191045382
"Abudefduf troschelii","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",8245,"reef_associated","tropical","marine","benthic","short_deep",12,20,3,0.36,2.1
"Acanthodoras spinosissimus","Acanthodoras","Doradidae","Siluriformes","Actinopterygii",12103,"demersal","tropical","freshwater","benthic","elongate",17,13.7,3.6,0.79,1
"Acanthodraco dewitti","Acanthodraco","Bathydraconidae","Perciformes","Actinopterygii",54894,"bathydemersal","polar_deep","marine","benthic","elongate",255,50,3.84,0.351392032774961,2.19724315645384
"Acantholabrus palloni","Acantholabrus","Labridae","Perciformes","Actinopterygii",7633,"reef_associated","temperate","marine","benthic","fusiform",500,25,3.5,0.34,2.2
"Acanthopagrus butcheri","Acanthopagrus","Sparidae","Perciformes","Actinopterygii",14601,"demersal","subtropical","mixed","benthic","fusiform",35,60,3.5,0.25,2.8
"Acipenser naccarii","Acipenser","Acipenseridae","Acipenseriformes","Actinopterygii",2504,"demersal","temperate","mixed","benthic","elongate",40,200,3.4,0.06,9.5
"Acipenser schrenckii","Acipenser","Acipenseridae","Acipenseriformes","Actinopterygii",6085,"demersal","temperate","mixed","benthic","elongate",82.09,300,3.3,0.06,9.3
"Acromycter nezumi","Acromycter","Congridae","Anguilliformes","Actinopterygii",23291,"demersal","temperate","marine","benthic","elongate",794.5,40,3.87,0.4,1.7
"Aculeola nigra","Aculeola","Etmopteridae","Squaliformes","Elasmobranchii",644,"demersal","polar_deep","marine","benthic","elongate",560,60,3.9,0.0760099699328454,17.9301708065231
"Aesopia cornuta","Aesopia","Soleidae","Pleuronectiformes","Actinopterygii",7850,"reef_associated","tropical","marine","benthic","short_deep",100,25,3.28,0.29,2.5
"Aetobatus narinari","Aetobatus","Aetobatidae","Myliobatiformes","Elasmobranchii",1250,"benthopelagic","subtropical","mixed","benthic","fusiform",80,230,4.2,0.11,5.2
"Aetobatus ocellatus","Aetobatus","Aetobatidae","Myliobatiformes","Elasmobranchii",12600,"benthopelagic","tropical","mixed","benthic","fusiform",100,300,4.17,0.122940581896883,8.69490187716094
"Aetomylaeus nichofii","Aetomylaeus","Myliobatidae","Myliobatiformes","Elasmobranchii",10120,"demersal","tropical","mixed","benthic","fusiform",70,65,3.8,0.21,3.1
"Ageneiosus inermis","Ageneiosus","Auchenipteridae","Siluriformes","Actinopterygii",47969,"pelagic","tropical","freshwater","benthic","elongate",1.67,64.8,4,0.318498694935035,1.98592889154835
"Ageneiosus militaris","Ageneiosus","Auchenipteridae","Siluriformes","Actinopterygii",53698,"pelagic","subtropical","freshwater","benthic","elongate",1.67,30,3.6,0.3,2.4
"Agonostomus monticola","Agonostomus","Mugilidae","Mugiliformes","Actinopterygii",1085,"pelagic_neritic","subtropical","mixed","benthic","fusiform",28,36,3,0.27,2.6
"Ailia coila","Ailia","Ailiidae","Siluriformes","Actinopterygii",13334,"pelagic","tropical","mixed","benthic","elongate",55.75,30,3.6,0.351773427517019,2.17315865310983
"Albula argentea","Albula","Albulidae","Albuliformes","Actinopterygii",58326,"demersal","tropical","marine","benthic","fusiform",90,70,3.73,0.26,2.5
"Albula nemoptera","Albula","Albulidae","Albuliformes","Actinopterygii",7334,"demersal","tropical","mixed","benthic","fusiform",50,51,3.73,0.42,1.6
"Alburnus tarichi","Alburnus","Cyprinidae","Cypriniformes","Actinopterygii",9635,"benthopelagic","temperate","freshwater","benthic","fusiform",23,20.2,2.8,0.32,2.4
"Alepes melanoptera","Alepes","Carangidae","Perciformes","Actinopterygii",1890,"pelagic_neritic","tropical","mixed","pelagic","fusiform",45,25,3.4,0.86,0.9
"Alestes baremoze","Alestes","Alestidae","Characiformes","Actinopterygii",2405,"benthopelagic","tropical","freshwater","benthic","fusiform",20,43,3.1,0.83,0.9
"Alestes dentex","Alestes","Alestidae","Characiformes","Actinopterygii",5229,"pelagic","tropical","freshwater","benthic","fusiform",20,55,2.9,0.43,1.7
