Food Item ID,Code,Subgroup,"Country, region",Type,ISSCAAP,3_alpha,Food name in own language,Food name in English,Processing,Scientific name,ASFIS English name,ASFIS Scientific name,Season,Other,n,Comments on data processing/methods,Publication year,BiblioID,Compiler,Latest revision in version,EDIBLE,PROTCNT(g),PROTCNP(g),PROT-(g),CA(mg),FE(mg),SE(mcg),ZN(mg),VITA_RAE(mcg),VITA-(mcg),FAPUN3(g),FAPUCN3(g),FAPULCCN3(g),FAN3(g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,as used in version 1.0 and 1.1,,sampling place,"C: Cultivar, V: Variety, BC: Breeding Clone, B: Breed, W: Wild, U: Underutilized",,,,,"r: raw, d: dried, p: processed",,,,sampling season,additional information on factors influencing the nutrient composition,number of independent analytical samples,,,,,,edible portion coefficient,"protein, total; calculated from total nitrogen ","protein, total; calculated from protein nitrogen","protein, total; method of determination unknown or variable",calcium,"iron, total",selenium,zink,Total vitamin A (mcg RAE),vitamin A; method of determination unknown,"fatty acids, total n-3 polyunsaturated","fatty acids, total n-3 polyunsaturated in cis configuration","fatty acids, total n-3 long-chain polyunsaturated in cis configuration","fatty acid, total n-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0900224,0900224,Crustacean,"Thailand, Nong Waeng",W,41,MNX,,"Freshwater prawn, wild, flesh, raw",r,Macrobrachium nipponense,Oriental river prawn,Macrobrachium nipponense,wet season,fish derive from rice-fish farming systems,5,FA converted using XFA; tr = FA values < 0.10% of FACID,2010,fi46,DR,2.0,,,,,,,,,,,0.139094344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0900312,0900312,Crustacean,"Italy, Egadi Islands",W,43,SLO,,"Common spinylobster, wild, fillet, raw",r,Palinurus elephas,Common spinylobster,Palinurus elephas,Jun 2003,weight: 1000-1700g,1,FA calc. for individual month based on a mean lipid value (Jun/Jul); FA converted using XFA,2006,fi65,DR,2.1,,,,,,,,,,,[0.389482368],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0900313,0900313,Crustacean,"Italy, Egadi Islands",W,43,SLO,,"Common spinylobster, wild, fillet, raw",r,Palinurus elephas,Common spinylobster,Palinurus elephas,Jul 2003,weight: 1000-1700g,1,FA calc. for individual month based on a mean lipid value (Jun/Jul); FA converted using XFA,2006,fi65,DR,2.1,,,,,,,,,,,[0.37581632],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0900444,0900444,Crustacean,"Greece, Aegean Sea",W,43,LBE,Astakos,"European lobster, wild, edible flesh, raw",r,Homarus gammarus,European lobster,Homarus gammarus,,,,,1995,fi80,DR,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0900445,0900445,Crustacean,"Greece, Aegean Sea",W,43,NEP,Karavida,"Norway lobster, wild, edible flesh, raw",r,Nephrops norvegicus,Norway Lobster,Nephrops norvegicus,,,,"mean of lipid value (spring, fall, winter) used for FA calculation; FAT- (analyzed according to AOAC 1975); FA converted using XFA; FA tr= <0.1g/100g fillet",1995,fi80,DR,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0900446,0900446,Crustacean,"Greece, Aegean Sea",W,45,ARA,Garida,"Shrimp, wild, edible flesh, raw",r,Aristeus antennatus,Blue and red shrimp,Aristeus antennatus,,,,"mean of lipid value (spring, fall, winter) used for FA calculation; FAT- (analyzed according to AOAC 1975); FA converted using XFA; FA tr= <0.1g/100g fillet",1995,fi80,DR,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0900483,0900483,Crustacean,"Greece, Aegean Sea",W,43,NEP,Karavida,"Norway lobster, wild, edible flesh, raw",r,Nephrops norvegicus,Norway Lobster,Nephrops norvegicus,Spring,,,FAT- (analyzed according to AOAC 1975),1995,fi80,DR,2.0,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0900484,0900484,Crustacean,"Greece, Aegean Sea",W,43,NEP,Karavida,"Norway lobster, wild, edible flesh, raw",r,Nephrops norvegicus,Norway Lobster,Nephrops norvegicus,Fall,,,FAT- (analyzed according to AOAC 1975),1995,fi80,DR,2.0,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0900485,0900485,Crustacean,"Greece, Aegean Sea",W,43,NEP,Karavida,"Norway lobster, wild, edible flesh, raw",r,Nephrops norvegicus,Norway Lobster,Nephrops norvegicus,Winter,,,FAT- (analyzed according to AOAC 1975),1995,fi80,DR,2.0,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
