Country,code,Total consumption footprint (tonnes),Total Consumption footprint per capita kg,Fisheries consumption footprint per capita kg,Aquaculture consumption footprint per capita kg,Fishmeal consumption footprint per capita kg
World,,154187007,22.3,9.7,8.8,3.8
China,CHN,64951697,48.3,12.9,27.1,8.3
European Union,EU,13051508,25.7,14.4,5.7,5.6
Japan,JPN,7412488,58,35.3,14.6,8.1
Indonesia,IDN,7297806,30.1,15.5,9.6,5.1
United States,USA,7143636,22.9,13.1,5.3,4.5
India,IND,6331374,5.1,2.3,2.3,0.4
"Korea, Republic of",KOR,3907340,78.5,48.9,21.7,7.8
Russian Federation,RUS,3405490,24,16.6,3.8,3.5
Viet Nam,VNM,3257070,37.1,11.6,16.5,9
Philippines,PHL,3247409,34.2,22.5,8.5,3.3
Bangladesh,BGD,3007999,20,8.4,9.7,1.8
Nigeria,NGA,2971053,18.3,12,4.4,1.8
Myanmar,MMR,2897091,59.9,44.7,11.8,3.4
France,FRA,2391316,36.5,22.4,8.1,6
Brazil,BRA,2179102,11.1,2.4,4.4,4.3
Spain,ESP,2138501,46.3,28.3,9.1,8.8
Egypt,EGY,1878771,22.8,3.7,13.2,5.8
Thailand,THA,1785733,25.7,9.8,8.6,7.4
Italy,ITA,1715292,28.2,15.7,7,5.5
Malaysia,MYS,1691515,58.6,35.6,14.4,8.6
Germany,DEU,1375334,16.8,9.1,3.9,3.9
United Kingdom,GBR,1325170,21.2,11.4,5,4.7
Mexico,MEX,1320667,11.5,6.9,1.7,2.9
Peru,PER,850602,28.9,21.9,0.3,6.7
Canada,CAN,836166,24.2,12.8,5.4,6
Ghana,GHA,680875,27.3,23.5,2.6,1.2
Ukraine,UKR,675578,14.8,9,2.6,3.2
Portugal,PRT,654682,61.5,40,11.7,9.8
Turkey,TUR,651694,8.8,3.6,2,3.3
"Iran, Islamic Republic of",IRN,624954,8.4,2.1,2.8,3.5
Australia,AUS,622112,27.5,12.6,8.7,6.3
Poland,POL,564598,14.8,7.4,3,4.4
Sri Lanka,LKA,553529,26.5,20.6,3.6,2.3
Cambodia,KHM,518864,36.3,29.5,4.4,2.3
Netherlands,NLD,461804,27.7,14.6,5,8.1
Uganda,UGA,460743,13.4,10.2,2.2,1
Venezuela,VEN,414051,14.1,8.9,1.7,3.6
Cameroon,CMR,386995,19.3,15.9,2,1.5
C<U+00F4>te d'Ivoire,CIV,357937,17.8,14.8,2,0.9
Pakistan,PAK,350696,2,1.2,0.5,0.3
Angola,AGO,334368,17,14.3,1.1,1.6
Sweden,SWE,332778,35.2,19.4,8.3,7.5
Norway,NOR,329787,66.6,26.2,16.2,24.2
Senegal,SEN,329715,25.8,25,0.1,0.7
Belgium,BEL,310421,28.2,14.5,7.1,6.6
South Africa,ZAF,310029,6.1,3.5,1.1,1.5
Chile,CHL,309374,17.9,7.1,3.4,7.4
Colombia,COL,301637,6.4,3.8,0.9,1.7
Greece,GRC,290579,25.7,6.4,8.9,10.5
United Republic of Tanzania,TZA,276750,6,5.5,0.3,0.2
Saudi Arabia,SAU,251624,9,3.9,2.3,2.8
Argentina,ARG,243094,6,3.7,0.7,1.5
"Korea, Democratic People's Republic of",PRK,235150,9.6,6.3,2.6,0.7
United Arab Emirates,ARE,220189,27.9,19.3,5.6,3
Finland,FIN,212891,39.5,27.2,5.1,7.3
Mozambique,MOZ,209178,8.7,8.1,0.1,0.5
Denmark,DNK,198235,35.6,11.1,3.7,20.7
Sierra Leone,SLE,196459,32.8,32.4,0.1,0.3
Kenya,KEN,189982,4.6,3.8,0.5,0.3
Belarus,BLR,186885,19.7,9.6,4.5,5.6
Israel,ISR,174076,22.4,6.4,10.1,5.9
Romania,ROU,165764,7.7,2.5,2.2,3
Switzerland,CHE,151384,19.1,10.1,4.8,4.3
Algeria,DZA,151173,4.2,2.8,0.6,0.8
Ecuador,ECU,146490,10,2.3,2.4,5.4
Tunisia,TUN,146064,13.7,8.2,2.5,3
Lithuania,LTU,143951,44.9,31.5,6.1,7.3
Benin,BEN,133701,14.7,12.8,1,0.8
Austria,AUT,125884,15,8.4,2.8,3.8
Mali,MLI,119235,7.5,7,0.1,0.4
New Zealand,NZL,118051,26.8,17.2,6.5,3.2
Czech Republic,CZE,115121,10.9,5.5,2.9,2.5
Congo,COG,114828,27.7,21.6,3.2,3
Ireland,IRL,110559,24.6,13.9,4.6,6.2
Lao People's Democratic Republic,LAO,108550,17.3,0.8,12.5,3.9
Guinea,GIN,108144,10.6,10.2,0.1,0.3
Burkina Faso,BFA,107859,6.4,5,0.3,1.1
Dominican Republic,DOM,107248,10.7,3.2,2.7,4.8
Madagascar,MDG,105749,5,3.6,0.5,0.9
Iraq,IRQ,99352,3,1.5,1,0.5
Zambia,ZMB,91339,6.8,5.3,0.6,0.8
Kazakhstan,KAZ,87040,5.3,3,0.8,1.4
Oman,OMN,81896,28.8,26.2,1.6,0.9
Malawi,MWI,78281,5.1,4,0.2,0.9
Jamaica,JAM,72772,26.9,14.6,5.5,6.8
Serbia,SRB,68514,9.4,3,2.5,4
Cuba,CUB,66671,5.9,1.4,2.6,1.9
Latvia,LVA,62325,28.1,21.4,2.7,4
Hungary,HUN,61500,6.2,1.2,2.2,2.8
Chad,TCD,60745,5.3,5.2,0,0.1
Nepal,NPL,60359,2,0.4,1.1,0.4
Yemen,YEM,60266,2.4,1.2,0.5,0.7
Bulgaria,BGR,57763,7.7,3,2.4,2.3
Lebanon,LBN,55937,13.1,4.8,3.7,4.6
"Moldova, Republic of",MDA,55735,15.7,6.5,5.8,3.4
Gabon,GAB,55243,36,29.5,3.7,2.8
Costa Rica,CRI,54492,11.5,3.7,4.4,3.5
