"Species group","Common name","Scientific name","Wild-caught or farmed","Edible fraction","Low GHG","High GHG","Median GHG","5-nutrient density, %"
"Whitefish","Alaska pollock","Gadus chalcogrammus","Wild",38,0.3,2.5,1.4,116
"Tuna","Albacore","Thunnus alalunga","Wild",63.8,4,5.8,4.9,168
"Pelagic (large)","Almaco jack","Seriola rivoliana","Farmed",46.3,1.9,4,2.95,114
"Bivalve","American cupped oyster","Crassostrea virginica","Farmed",10,0.2,1.1,0.65,214
"Bivalve","American cupped oyster","Crassostrea virginica","Wild",10,1.2,3.2,2.2,214
"Pelagic (small)","Anchoveta","Engraulis ringens","Wild",62,0.1,0.1,0.1,230
"Freshwater fish","Arapaima","Arapaima gigas","Farmed",43,1.8,9.7,5.75,146
"Salmonidae","Arctic char","Salvelinus alpinus","Farmed",49.3,2.2,3.9,3.05,159
"Whitefish","Argentine hake","Merluccius hubbsi","Wild",47.3,1.6,4.3,2.95,123
"Tuna","Atlantic bluefin tuna","Thunnus thynnus","Farmed",60.8,4.7,6.7,5.7,192
"Tuna","Atlantic bluefin tuna","Thunnus thynnus","Wild",60.8,1.6,6.6,4.1,192
"Whitefish","Atlantic cod","Gadus morhua","Wild",50,1.5,4,2.75,158
"Pelagic (small)","Atlantic herring","Clupea harengus","Wild",61,0.2,0.4,0.3,200
"Pelagic (large)","Atlantic horse mackerel","Trachurus trachurus","Wild",52.2,4.3,6.1,5.2,197
"Pelagic (large)","Atlantic mackerel","Scomber scombrus","Wild",61,0.2,0.3,0.25,224
"Pelagic (small)","Atlantic menhaden","Brevoortia tyrannus","Wild",60,0.1,0.2,0.15,247
"Salmonidae","Atlantic salmon","Salmo salar","Farmed",49.3,1.6,2.9,2.25,180
 ,"Barramundi","Lates calcarifer","Farmed",43.8,2.5,28.1,15.3,177
 ,"Barramundi","Lates calcarifer","Farmed",52.5,2.5,28.1,15.3,177
"Tuna","Bigeye tuna","Thunnus obesus","Wild",57.2,2,12.4,7.2,163
"Crustacean","Blue crab","Callinectes sapidus","Wild",25,5.2,19.3,12.25,179
"Whitefish","Blue grenadier","Macruronus novaezelandiae","Wild",52.5,3.4,4.6,4,163
"Bivalve","Blue mussel","Mytilus edulis","Farmed",26,0.02,0.2,0.11,208
"Bivalve","Blue mussel","Mytilus edulis","Wild",26,0.1,0.1,0.1,208
"Pelagic (large)","California yellowtail","Seriola lalandi","Farmed",46.3,1.9,4,2.95,182
"Pelagic (large)","Capelin","Mallotus villosus","Wild",60,0.1,0.1,0.1,176
"Freshwater fish","Channel catfish","Ictalurus punctatus","Farmed",52.5,3.9,22.3,13.1,163
"Salmonidae","Chinook salmon","Oncorhynchus tshawytscha","Farmed",55,2.1,3.6,2.85,220
"Salmonidae","Chinook salmon","Oncorhynchus tshawytscha","Wild",55,1.4,8.5,4.95,220
"Pelagic (large)","Chub mackerel","Scomber japonicus","Wild",62,0.1,0.4,0.25,170
"Salmonidae","Chum salmon","Oncorhynchus keta","Wild",62,1.4,4.3,2.85,215
"Pelagic (large)","Cobia","Rachycentron canadum","Farmed",43,3.8,6.2,5,144
"Salmonidae","Coho salmon","Oncorhynchus kisutch","Wild",62,1.4,4.3,2.85,225
"Freshwater fish","Common carp","Cyprinus carpio","Farmed",47.5,0.7,12.9,6.8,102
"Cephalopod","Common octopus","Octopus vulgaris","Wild",67.7,9.6,15.2,12.4,188
"Whitefish","Common sole","Solea solea","Wild",52.6,11.5,13.7,12.6,132
"Pelagic (small)","European anchovy","Engraulis encrasicolus","Wild",61.6,0.4,1.6,1,231
 ,"European bass","Dicentrarchus labrax","Farmed",43,2.6,44.4,23.5,129
"Whitefish","European hake","Merluccius merluccius","Wild",52.8,5.2,13.3,9.25,130
"Pelagic (small)","European pilchard","Sardina pilchardus","Wild",62,0.4,1.6,1,274
"Whitefish","European plaice","Pleuronectes platessa","Wild",51.9,1.3,14.6,7.95,163
"Pelagic (small)","European sprat","Sprattus sprattus","Wild",56,0.4,1.6,1,161
 ,"Flathead mullet","Mugil cephalus","Wild",50,1.3,2.2,1.75,278
"Whitefish","Flounder","Platichthys flesus","Wild",47.9,12.2,14.6,13.4,151
 ,"Gilt-head seabream","Sparus aurata","Farmed",43,2.1,22.7,12.4,129
"Freshwater fish","Grass carp","Ctenopharyngodon idella","Farmed",47.5,0.7,12.9,6.8,170
